,Часть 1,Часть 2
0,самое,дело
1,последний,год
2,прошлый,год
3,высшая,школа
4,высшее,образование
5,большая,часть
6,последнее,время
7,железная,дорога
8,мировая,война
9,русский,язык
10,сегодняшний,день
11,средний,класс
12,экономический,рост
13,большое,количество
14,данный,случай
15,новая,технология
16,внутреннее,дело
17,самое,начало
18,значительная,часть
19,гражданское,общество
20,учебное,заведение
21,заработная,плата
22,вторая,война
23,уголовное,дело
24,данный,момент
25,экономическое,развитие
26,первое,место
27,общественная,организация
28,долгое,время
29,развитая,страна
30,гражданская,война
31,научное,исследование
32,планерный,спорт
33,информационная,технология
34,квадратный,метр
35,огромное,количество
36,государственный,университет
37,сельское,хозяйство
38,иностранное,дело
39,вторая,половина
40,ближайшее,время
41,советское,время
42,правоохранительный,орган
43,целый,ряд
44,фондовый,рынок
45,настоящее,время
46,высокий,уровень
47,олимпийская,игра
48,малый,бизнес
49,демонстрационный,эффект
50,прошлая,неделя
51,головной,мозг
52,мировой,рынок
53,следующий,год
54,мобильный,телефон
55,пуповинная,кровь
56,местный,житель
57,учредительное,собрание
58,золотая,медаль
59,главная,задача
60,новый,президент
61,следующий,день
62,финансовый,кризис
63,исполнительная,власть
64,подавляющее,большинство
65,нервная,система
66,первый,день
67,федеральный,бюджет
68,отечественная,война
69,программное,обеспечение
70,первый,взгляд
71,главный,редактор
72,первая,война
73,первый,секретарь
74,главный,образ
75,иное,слово
76,российский,рынок
77,крупная,компания
78,внешняя,политика
79,экономическая,политика
80,космический,аппарат
81,российская,экономика
82,местное,самоуправление
83,наихороший,случай
84,частная,собственность
85,народный,депутат
86,дальнейшее,развитие
87,научный,руководитель
88,магнитный,поле
89,научная,работа
90,генеральный,директор
91,большая,часть
92,первый,год
93,судебная,система
94,жидкая,мембрана
95,верховный,суд
96,государственная,дума
97,общественное,мнение
98,синхронное,плавание
99,новая,система
100,историческая,наука
101,международная,федерация
102,последнее,десятилетие
103,большая,степень
104,европейская,страна
105,российская,федерация
106,народное,хозяйство
107,научное,сообщество
108,крупный,город
109,массовая,информация
110,социальная,политика
111,настоящий,момент
112,федеральная,служба
113,белый,дом
114,стабилизационный,фонд
115,круглый,стол
116,торговая,сеть
117,научный,центр
118,свободное,время
119,великая,война
120,солнечная,система
121,политическая,система
122,новый,год
123,природный,ресурс
124,советская,власть
125,рыночная,экономика
126,финансовый,рынок
127,здравый,смысл
128,российская,власть
129,социальная,сеть
130,первый,этап
131,новая,идея
132,государственная,власть
133,последний,день
134,красная,армия
135,большой,счет
136,красный,планета
137,федеральный,закон
138,генеральный,секретарь
139,учебный,процесс
140,космическое,исследование
141,чёрный,море
142,английский,язык
143,морской,вода
144,первая,половина
145,розничная,сеть
146,детский,дом
147,долгий,год
148,нынешний,год
149,российская,компания
150,конечный,итог
151,повседневная,жизнь
152,трудовая,деятельность
