,Часть 1,Часть 2,Композициональность,
1,точка,зрения,0,
2,школа,экономики,1,
3,чемпионат,мира,1,
4,вид,спорта,1,
5,темп,роста,1,
6,тысяча,рублей,1,
7,рост,цен,1,
8,начало,годов,1,
9,министр,дел,1,
10,доктор,наук,1,
11,решение,проблем,1,
12,тысяча,человек,1,
13,миллион,рублей,1,
14,район,области,1,
15,система,образования,1,
16,глава,государства,1,
17,тысяча,долларов,1,
18,орган,власти,0,
19,миллион,долларов,1,
20,миллиард,рублей,1,
21,миллиард,долларов,1,
22,образ,жизни,1,
23,друг,друга,1,
24,право,человека,1,
25,страна,мира,1,
26,производительность,труда,1,
27,чемпион,мира,1,
28,принятие,решений,1,
29,решение,задач,1,
30,кандидат,наук,1,
31,время,войны,1,
32,уровень,жизни,1,
33,правило,игры,1,
34,заместитель,министра,1,
35,академия,наук,1,
36,время,времени,1,
37,начало,войны,1,
38,рынок,труда,0,
39,решение,проблемы,1,
40,сотня,тысяч,1,
41,конец,годов,1,
42,право,собственности,1,
43,глава,администрации,1,
44,министр,финансов,1,
45,средство,информации,0,
46,продукт,питания,1,
47,решение,задачи,1,
48,рост,экономики,1,
49,развитие,страны,1,
50,уровень,моря,1,
51,заместитель,председателя,1,
52,миллион,человек,1,
53,смысл,слова,1,
54,свобода,слова,1,
55,середина,годов,1,
56,реформа,образования,1,
57,глава,правительства,1,
58,начальник,управления,1,
59,десяток,тысяч,1,
60,система,управления,1,
61,большинство,случаев,1,
62,лауреат,премии,1,
63,администрация,президента,1,
64,путь,развития,0,
65,берег,реки,1,
66,душа,населения,1,
67,миллион,тонн,1,
68,миллион,людей,1,
69,мнение,экспертов,1,
70,развитие,событий,1,
71,жизнь,общества,1,
72,год,войны,1,
73,источник,энергии,1,
74,большинство,населения,1,
75,сектор,экономики,1,
76,средство,производства,1,
77,день,рождения,1,
78,повестка,дня,1,
79,министр,образования,1,
80,служба,занятости,1,
81,развитие,науки,1,
82,служба,безопасности,1,
83,центр,города,1,
84,развитие,экономики,1,
85,командир,батареи,1,
86,оплата,труда,1,
87,численность,населения,1,
88,база,данных,1,
89,курс,рубля,1,
90,выпускник,школ,1,
91,создание,системы,1,
92,райком,партии,1,
93,группа,ученых,1,
94,слой,населения,0,
95,стратегия,развития,1,
96,развитие,общества,1,
97,министр,обороны,1,
98,мужчина,женщин,1,
99,часть,населения,1,
100,лишение,свободы,1,
101,банк,крови,0,
102,часть,общества,1,
103,переливание,крови,1,
104,окончание,войны,1,
105,секретарь,обкома,1,
106,суть,дела,1,
107,опыт,работы,1,
108,председатель,совета,1,
109,решение,вопросов,1,
110,ряд,стран,1,
111,председатель,комитета,1,
112,жизнь,человека,1,
113,изменение,климата,1,
114,сфера,деятельности,0,
115,метод,исследования,1,
116,положение,дел,1,
117,место,происшествия,1,
118,решение,вопроса,1,
119,защита,прав,1,
120,вид,деятельности,1,
121,ремень,безопасности,1,
122,уровень,развития,1,
123,результат,исследований,1,
124,повышение,тарифов,1,
125,форма,собственности,1,
126,обком,партии,1,
127,большинство,стран,1,
128,снижение,цен,1,
129,территория,страны,1,
130,снижение,налогов,1,
131,теория,относительности,1,
132,сотня,миллионов,1,
133,жизнь,людей,1,
134,состояние,здоровья,1,
135,область,науки,1,
136,мастер,спорта,1,
137,фунт,стерлингов,1,
138,плотность,населения,1,
139,член,совета,1,
140,вертикаль,власти,0,
141,директор,института,1,
142,профессор,университета,1,
143,ставка,налога,1,
144,захват,заложников,1,
145,конец,войны,1,
146,качество,образования,1,
147,десяток,миллионов,1,
148,палата,парламента,1,
149,доллар,миллиарда,1,
150,год,жизни,1,
151,принятие,решения,1,
152,количество,мест,1,
153,аппарат,правительства,1,
154,результат,выборов,1,
155,совет,директоров,1,
156,уровень,доходов,1,
157,часть,территории,1,
158,результат,исследования,1,
159,система,мира,1,
160,налог,продаж,1,
161,мозг,человека,1,
162,заместитель,директора,1,
163,охрана,природы,1,
164,статья,кодекса,1,
165,результат,работы,1,
166,оказание,помощи,1,
167,поверхность,планеты,1,
168,срок,службы,1,
169,сфера,жизни,0,
170,население,страны,1,
171,культ,личности,1,
172,президент,страны,1,
173,нарушение,прав,1,
174,направление,деятельности,1,
175,падение,цен,1,
176,акция,протеста,1,
177,член,общества,1,
178,член,экипажа,1,
179,конец,недели,1,
180,обеспечение,безопасности,1,
181,заседание,правительства,1,
182,экономика,страны,1,
183,развитие,технологий,1,
184,рост,расходов,1,
185,экран,компьютера,1,
186,секретарь,райкома,1,
187,наведение,порядка,1,
188,гражданин,страны,1,
189,политика,государства,1,
190,учебник,истории,1,
191,тысяча,баррелей,1,
192,структура,мозга,1,
193,директор,департамента,1,
194,перепись,населения,1,
195,момент,времени,1,
196,кабинет,министров,1,
